campaign,instance,expected_result,sealed_structural,indexed_structural,python_reference_structural,sealed_registry,indexed_registry,sealed_checks,indexed_checks,sealed_boxes,indexed_boxes,indexed_final,cadical_result,kissat_result,witness_valid,newly_structural,contradicts_sealed,pre_registry_changed,passed
phase2,011_bipartite_matching_noise100.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,87,14,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,012_bipartite_matching_noise200.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,68,12,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,013_overlapping_hall_violation_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,120,27,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,014_overlapping_hall_violation_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,198,34,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,015_overlapping_hall_violation_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,145,27,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,016_overlapping_hall_violation_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,199,33,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,017_satisfiable_capacity_control_noise0.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,168,76,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,018_satisfiable_capacity_control_noise50.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,280,79,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,019_satisfiable_capacity_control_noise100.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,261,76,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,020_satisfiable_capacity_control_noise200.cnf,SATISFIABLE,FEASIBLE,FEASIBLE,FEASIBLE,COMPLETE,COMPLETE,402,76,4,4,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase2,021_capacity_violation_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,195,215,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,022_capacity_violation_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,328,221,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,023_capacity_violation_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,268,215,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,024_capacity_violation_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,358,215,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,025_hidden_cardinality_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,744,166,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,026_hidden_cardinality_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,1188,177,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,027_hidden_cardinality_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,1445,168,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,028_hidden_cardinality_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,2172,169,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,029_recovery_budget_abort_control_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,744,166,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,030_recovery_budget_abort_control_noise50.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,1016,169,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,031_recovery_budget_abort_control_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,1564,166,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase2,032_recovery_budget_abort_control_noise200.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,2079,168,4,4,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,11312,5636,8,8,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,37170,18550,10,10,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,141480,5055,5,5,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,UNSATISFIABLE,UNKNOWN,UNSAT,UNSAT,UNKNOWN,COMPLETE,200165,14256,0,6,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,True,False,False,True
phase3,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,UNSATISFIABLE,UNKNOWN,UNSAT,UNSAT,UNKNOWN,COMPLETE,200001,17981,17,17,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,True,False,False,True
phase3,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,UNSATISFIABLE,UNKNOWN,UNSAT,UNSAT,UNKNOWN,COMPLETE,200001,31969,19,19,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,True,False,False,True
phase3,007_capacity2_violation_boundary_low_scale5_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,31295,148731,11,11,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,008_capacity2_violation_noise100_scale5_noise100.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,156146,148733,11,11,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,UNSATISFIABLE,UNSAT,UNSAT,UNSAT,COMPLETE,COMPLETE,117666,12231,9,9,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,False,False,False,True
phase3,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,UNSATISFIABLE,UNKNOWN,UNSAT,UNSAT,UNKNOWN,COMPLETE,200001,12231,0,9,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,True,False,False,True
phase3,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,SATISFIABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,200246,200001,0,24,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase3,012_random_3sat_uniform_scale150_noise0.cnf,SATISFIABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,7055,15,0,0,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase3,013_random_3sat_planted_sat_scale400_noise0.cnf,SATISFIABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,44536,11,0,0,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
phase3,014_random_3sat_planted_sat_scale800_noise0.cnf,SATISFIABLE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,185346,20,0,0,SATISFIABLE,SATISFIABLE,SATISFIABLE,,False,False,False,True
