set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_cadical,66.564549,UNSATISFIABLE,False,66.564549,UNSAT,False,cadical,0,0,0,0,1.98582,0.099967,0.199421,43.2661,0.021443,4.46781,-1,-1,-1,4452,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_cadical__seed2.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_none,66.442158,UNSATISFIABLE,False,66.442158,UNSAT,False,none,0,0,0,0,2.0792,0.113934,0.204618,49.4127,0.020213,4.29754,-1,-1,-1,4196,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_none__seed3.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,cadical,4787.258276,UNSATISFIABLE,False,4787.258276,,,cadical,,,,,,,,,,,46,370665,3439588,8028,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed3.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,kissat,468.36167,UNSATISFIABLE,False,468.36167,,,kissat,,,,,,,,,,,29487,45208,826551,3008,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed3.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_cadical,66.537399,UNSATISFIABLE,False,66.537399,UNSAT,False,cadical,0,0,0,0,2.26003,0.129974,0.199691,39.3086,0.017914,3.78208,-1,-1,-1,4260,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_cadical__seed3.log
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_kissat,67.222807,UNSATISFIABLE,False,67.222807,UNSAT,False,kissat,0,0,0,0,2.14,0.105432,0.23224,45.0214,0.02013,6.40865,-1,-1,-1,4344,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_002__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_kissat__seed3.log
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_kissat,34.264727,UNSATISFIABLE,False,34.264727,UNSAT,False,kissat,0,0,0,0,1.86089,0.106768,0.159472,19.2391,0.01955,3.97627,-1,-1,-1,4152,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_003__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_kissat__seed1.log
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_none,34.436742,UNSATISFIABLE,False,34.436742,UNSAT,False,none,0,0,0,0,1.89339,0.108829,0.164566,16.9154,0.010843,2.95724,-1,-1,-1,4256,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_003__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_none__seed1.log
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,cadical,166.913577,UNSATISFIABLE,False,166.913577,,,cadical,,,,,,,,,,,0,17793,181743,2884,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_003__003_exact_r_allocation_boundary_low_scale9_noise0__cadical__seed1.log
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,kissat,166.783119,UNSATISFIABLE,False,166.783119,,,kissat,,,,,,,,,,,8181,10125,233008,2260,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_003__003_exact_r_allocation_boundary_low_scale9_noise0__kissat__seed1.log
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_cadical,34.332644,UNSATISFIABLE,False,34.332644,UNSAT,False,cadical,0,0,0,0,2.14399,0.107001,0.159151,18.841,0.012977,3.55609,-1,-1,-1,4148,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_003__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_cadical__seed1.log
