set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,2,lkk_cadical,3.06844,0.186885,0.411958,403.215,0,0,346.947,0,346.947,0,771.509203,UNKNOWN,True,6192
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,2,lkk_kissat,2.2809,0.137224,0.322255,295.89,0,0,129.012,3.06274,110,22.0749,468.409142,UNKNOWN,True,4512
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,2,lkk_none,4.04664,0.176006,0.44153,345.686,0,0,0,0,0,0,369.441238,UNKNOWN,True,4492
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,3,lkk_cadical,3.67297,0.169322,0.395471,351.037,0,0,336.714,0,336.714,0,720.285842,UNKNOWN,True,6680
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,3,lkk_kissat,3.00507,0.171402,0.415668,315.177,0,0,99.5502,3.03484,80,22.5851,468.976227,UNKNOWN,True,4512
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,3,lkk_none,3.15453,0.174996,0.368406,357.92,0,0,0,0,0,0,419.231592,UNKNOWN,True,4304
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,1,lkk_cadical,3.50603,0.246587,0.524678,425.661,0,0,4160.9,0,4160.9,0,4636.693835,UNKNOWN,True,10052
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,1,lkk_kissat,4.27967,0.311606,0.616686,515.528,0,0,378.154,3.11214,340,41.266,972.426006,UNKNOWN,True,4620
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,1,lkk_none,2.77488,0.23853,0.518933,425.657,0,0,0,0,0,0,469.482898,UNKNOWN,True,4560
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,2,lkk_cadical,2.86333,0.256207,0.465539,483.014,0,0,4122.74,0,4122.74,0,4635.471021,UNKNOWN,True,10616
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,2,lkk_kissat,2.40174,0.188354,0.414172,354.795,0,0,312.823,3.6197,290,26.4425,718.909219,UNKNOWN,True,4712
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,2,lkk_none,2.52482,0.215609,0.396035,394.683,0,0,0,0,0,0,418.304917,UNKNOWN,True,4572
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,3,lkk_kissat,3.17141,0.265852,0.527218,376.694,0,0,342.946,8.00353,320,30.9496,770.597134,UNKNOWN,True,4544
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,3,lkk_none,4.10557,0.295877,0.551973,430.303,0,0,0,0,0,0,470.118163,UNKNOWN,True,4536
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,3,lkk_cadical,2.58285,0.24159,0.459403,375.157,0,0,3411.47,0,3411.47,0,3831.706941,UNKNOWN,True,8980
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1,lkk_cadical,2.60417,0.138194,0.327182,218.079,0.013913,5.55797,0,0,0,0,268.249753,UNSAT,False,4368
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1,lkk_kissat,2.03838,0.121167,0.309555,206.409,0.013596,4.67325,0,0,0,0,267.74463,UNSAT,False,4316
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1,lkk_none,2.22238,0.143085,0.280733,230.642,0.015037,4.2215,0,0,0,0,268.111102,UNSAT,False,4328
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,2,lkk_kissat,2.63945,0.131261,0.288246,250.317,0.016716,5.3765,0,0,0,0,268.319258,UNSAT,False,4524
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,2,lkk_none,2.82319,0.141091,0.30027,228.366,0.014373,5.98982,0,0,0,0,268.069199,UNSAT,False,4480
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,2,lkk_cadical,2.4625,0.13434,0.316156,233.424,0.016766,14.1152,0,0,0,0,269.06937,UNSAT,False,4364
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,3,lkk_none,4.37001,0.235168,0.502368,260.055,0.018397,6.27137,0,0,0,0,321.284155,UNSAT,False,4460
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,3,lkk_cadical,2.59552,0.142333,0.312465,217.448,0.012963,5.04926,0,0,0,0,267.939151,UNSAT,False,4384
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,3,lkk_kissat,2.14356,0.120699,0.267246,221.072,0.014485,4.77577,0,0,0,0,267.711316,UNSAT,False,4528
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1,lkk_kissat,3.02125,0.355675,0.719554,349.255,0.014345,7.66201,0,0,0,0,419.822867,UNSAT,False,4576
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1,lkk_none,4.36127,0.462274,0.886159,342.454,0.026214,7.58064,0,0,0,0,369.650255,UNSAT,False,4612
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1,lkk_cadical,3.46386,0.410111,0.82398,303.631,0.016143,6.84645,0,0,0,0,368.890734,UNSAT,False,4444
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,2,lkk_none,3.12505,0.388794,0.683111,313.565,0.014426,7.31707,0,0,0,0,368.33164,UNSAT,False,4720
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,2,lkk_cadical,3.7226,0.444293,0.82893,291.796,0.013478,6.95867,0,0,0,0,318.82678,UNSAT,False,4784
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,2,lkk_kissat,2.71302,0.309995,0.629997,303.324,0.013304,6.42944,0,0,0,0,368.123176,UNSAT,False,4684
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,3,lkk_cadical,2.35929,0.315249,0.623335,291.139,0.018822,6.99589,0,0,0,0,317.557573,UNSAT,False,4712
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,3,lkk_kissat,2.5399,0.35407,0.634482,305.398,0.020102,6.6232,0,0,0,0,367.773425,UNSAT,False,4496
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,3,lkk_none,3.69454,0.386455,0.74542,319.856,0.014397,6.82689,0,0,0,0,368.882647,UNSAT,False,4596
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,1,lkk_none,2.299,0.171799,0.939781,36.3712,0.01919,6.0558,0,0,0,0,66.651049,UNSAT,False,4608
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,1,lkk_cadical,3.00064,0.192201,1.05439,34.5413,0.020321,7.07386,0,0,0,0,67.935739,UNSAT,False,4436
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,1,lkk_kissat,3.81306,0.292856,1.36849,44.5129,0.021543,7.68475,0,0,0,0,119.06197,UNSAT,False,4652
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,2,lkk_cadical,2.50517,0.199171,1.11955,38.7237,0.02371,8.09272,0,0,0,0,68.801746,UNSAT,False,4544
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,2,lkk_kissat,2.57016,0.204094,1.12194,40.5626,0.028719,9.83835,0,0,0,0,68.49248,UNSAT,False,4648
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,2,lkk_none,5.46802,0.221352,1.24286,34.3103,0.019458,6.66739,0,0,0,0,67.455362,UNSAT,False,4644
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,3,lkk_cadical,3.21334,0.225928,1.14136,33.6006,0.016275,5.90795,0,0,0,0,68.031265,UNSAT,False,4680
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,3,lkk_kissat,2.18089,0.170925,0.952183,36.9211,0.022096,7.58804,0,0,0,0,66.755112,UNSAT,False,4696
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,3,lkk_none,2.39942,0.179646,1.08822,34.6362,0.018765,7.48756,0,0,0,0,66.986608,UNSAT,False,4532
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,1,lkk_cadical,3.71739,0.458786,1.63478,12.1932,0,0,408.468,0,408.468,0,469.774102,UNKNOWN,True,7356
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,1,lkk_kissat,3.53816,0.390659,1.47933,14.3285,0,0,114.517,3.28786,90,27.8052,167.770952,UNKNOWN,True,4920
