set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,phase4b,1,lkk_kissat,468.857215,UNSATISFIABLE,False,468.857215,UNKNOWN,True,kissat,117.672,2.25228,100,19.9241,1.66081,0.127597,0.304893,302.084,0,0,8422,12151,245912,4352,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_006__006_overlapping_hall_violation_scale8_phase4b__lkk_kissat__seed1.log
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,phase4b,1,lkk_none,368.789215,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,1.96266,0.137717,0.325612,319.066,0,0,-1,-1,-1,4236,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_006__006_overlapping_hall_violation_scale8_phase4b__lkk_none__seed1.log
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,phase4b,1,cadical,518.235796,UNSATISFIABLE,False,518.235796,,,cadical,,,,,,,,,,,10,49432,475080,3476,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_006__006_overlapping_hall_violation_scale8_phase4b__cadical__seed1.log
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,phase4b,1,lkk_cadical,4083.00171,UNSATISFIABLE,False,4083.00171,UNKNOWN,True,cadical,3670.84,0,3670.84,0,2.1096,0.182146,0.40176,366.507,0,0,341858,368940,3210303,10252,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_007__007_overlapping_hall_violation_scale9_phase4b__lkk_cadical__seed1.log
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,phase4b,1,lkk_kissat,820.064764,UNSATISFIABLE,False,820.064764,UNKNOWN,True,kissat,362.361,3.41146,330,35.7729,1.97346,0.195651,0.404692,381.569,0,0,20328,29315,600597,4712,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_007__007_overlapping_hall_violation_scale9_phase4b__lkk_kissat__seed1.log
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,phase4b,1,lkk_none,418.769676,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,2.04615,0.187657,0.402585,391.012,0,0,-1,-1,-1,4428,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_007__007_overlapping_hall_violation_scale9_phase4b__lkk_none__seed1.log
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,phase4b,1,cadical,4635.355386,UNSATISFIABLE,False,4635.355386,,,cadical,,,,,,,,,,,102,368940,3518818,6992,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_007__007_overlapping_hall_violation_scale9_phase4b__cadical__seed1.log
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,phase4b,1,kissat,418.403311,UNSATISFIABLE,False,418.403311,,,kissat,,,,,,,,,,,20328,29315,600597,3268,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_007__007_overlapping_hall_violation_scale9_phase4b__kissat__seed1.log
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,phase4b,1,lkk_kissat,2577.264128,UNSATISFIABLE,False,2577.264128,UNKNOWN,True,kissat,1981.91,2.94132,2000,-15.1464,2.97592,0.287526,0.841447,557.032,0,0,125042,168844,3347000,5844,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_008__008_overlapping_hall_violation_scale10_phase4b__lkk_kissat__seed1.log
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,phase4b,1,lkk_none,569.855834,UNKNOWN,False,10000.0,UNKNOWN,True,none,0,0,0,0,2.70711,0.328318,0.687214,528.489,0,0,-1,-1,-1,4556,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_008__008_overlapping_hall_violation_scale10_phase4b__lkk_none__seed1.log
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,phase4b,1,cadical,5038.227563,TIMEOUT,True,10000.0,,,cadical,,,,,,,,,,,,,,1656,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_008__008_overlapping_hall_violation_scale10_phase4b__cadical__seed1.log
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,phase4b,1,kissat,1873.966886,UNSATISFIABLE,False,1873.966886,,,kissat,,,,,,,,,,,125042,168844,3347000,5836,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_008__008_overlapping_hall_violation_scale10_phase4b__kissat__seed1.log
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,phase4b,1,lkk_cadical,5035.508673,TIMEOUT,True,10000.0,,,lkk_cadical,,,,,,,,,,,,,,1744,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/expanded_008__008_overlapping_hall_violation_scale10_phase4b__lkk_cadical__seed1.log
