configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=300000,016_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,19.501503,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=300000,017_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,18.534463,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=500000,012_capacity2_violation_s4_n0.cnf,capacity2_violation,35.819941,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=500000,013_capacity2_violation_s6_n0.cnf,capacity2_violation,5040.284587,ERROR,UNKNOWN,,
budget=500000,014_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,11.016509,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=500000,015_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,10.730594,UNSATISFIABLE,UNSAT,COMPLETE,2534
budget=500000,016_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,19.231601,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=500000,017_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,18.847463,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=200000,018_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,19.205887,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=200000,019_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,67.514115,SATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,020_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,117.493603,SATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,021_random_3sat_s120_n0.cnf,random_3sat,19.229164,SATISFIABLE,UNKNOWN,UNKNOWN,9
budget=200000,022_random_3sat_s300_n0.cnf,random_3sat,5040.62805,ERROR,UNKNOWN,,
budget=300000,018_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,19.100682,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=300000,019_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,67.067509,SATISFIABLE,UNKNOWN,UNKNOWN,300001
budget=300000,020_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,118.225285,SATISFIABLE,UNKNOWN,UNKNOWN,300001
budget=300000,021_random_3sat_s120_n0.cnf,random_3sat,10.894557,SATISFIABLE,UNKNOWN,UNKNOWN,9
budget=300000,022_random_3sat_s300_n0.cnf,random_3sat,5041.91514,ERROR,UNKNOWN,,
budget=500000,018_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,18.415103,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=500000,019_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,118.051299,SATISFIABLE,UNKNOWN,UNKNOWN,500001
budget=500000,020_satisfiable_capacity_control_s26_n0.cnf,satisfiable_capacity_control,167.33515,SATISFIABLE,UNKNOWN,UNKNOWN,500001
budget=500000,021_random_3sat_s120_n0.cnf,random_3sat,19.42498,SATISFIABLE,UNKNOWN,UNKNOWN,9
budget=500000,022_random_3sat_s300_n0.cnf,random_3sat,5040.383252,ERROR,UNKNOWN,,
