configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
RACE,after 18,dropped,,budget=100000,,,
budget=200000,018_capacity2_violation_s3_n100.cnf,capacity2_violation,10.288311,UNSATISFIABLE,UNSAT,COMPLETE,7716
budget=200000,019_capacity2_violation_s4_n0.cnf,capacity2_violation,18.563118,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=200000,020_capacity2_violation_s4_n100.cnf,capacity2_violation,35.939912,UNSATISFIABLE,UNSAT,COMPLETE,59257
budget=200000,021_capacity2_violation_s5_n0.cnf,capacity2_violation,671.091447,UNSATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,022_capacity2_violation_s5_n100.cnf,capacity2_violation,1323.029787,UNSATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,023_capacity2_violation_s6_n0.cnf,capacity2_violation,5040.787407,ERROR,UNKNOWN,,
budget=300000,018_capacity2_violation_s3_n100.cnf,capacity2_violation,10.419781,UNSATISFIABLE,UNSAT,COMPLETE,7716
budget=300000,019_capacity2_violation_s4_n0.cnf,capacity2_violation,18.952073,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=300000,020_capacity2_violation_s4_n100.cnf,capacity2_violation,18.511964,UNSATISFIABLE,UNSAT,COMPLETE,59257
budget=300000,021_capacity2_violation_s5_n0.cnf,capacity2_violation,67.42066,UNSATISFIABLE,UNSAT,COMPLETE,284856
budget=300000,022_capacity2_violation_s5_n100.cnf,capacity2_violation,67.68854,UNSATISFIABLE,UNSAT,COMPLETE,284860
budget=300000,023_capacity2_violation_s6_n0.cnf,capacity2_violation,5042.443566,ERROR,UNKNOWN,,
budget=500000,018_capacity2_violation_s3_n100.cnf,capacity2_violation,10.600898,UNSATISFIABLE,UNSAT,COMPLETE,7716
budget=500000,019_capacity2_violation_s4_n0.cnf,capacity2_violation,18.928982,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=500000,020_capacity2_violation_s4_n100.cnf,capacity2_violation,35.239845,UNSATISFIABLE,UNSAT,COMPLETE,59257
budget=500000,021_capacity2_violation_s5_n0.cnf,capacity2_violation,67.674406,UNSATISFIABLE,UNSAT,COMPLETE,284856
budget=500000,022_capacity2_violation_s5_n100.cnf,capacity2_violation,67.083335,UNSATISFIABLE,UNSAT,COMPLETE,284860
budget=500000,023_capacity2_violation_s6_n0.cnf,capacity2_violation,5039.86196,ERROR,UNKNOWN,,
budget=1000000,018_capacity2_violation_s3_n100.cnf,capacity2_violation,10.401292,UNSATISFIABLE,UNSAT,COMPLETE,7716
budget=1000000,019_capacity2_violation_s4_n0.cnf,capacity2_violation,35.390189,UNSATISFIABLE,UNSAT,COMPLETE,59253
budget=1000000,020_capacity2_violation_s4_n100.cnf,capacity2_violation,36.318901,UNSATISFIABLE,UNSAT,COMPLETE,59257
budget=1000000,021_capacity2_violation_s5_n0.cnf,capacity2_violation,68.005024,UNSATISFIABLE,UNSAT,COMPLETE,284856
budget=1000000,022_capacity2_violation_s5_n100.cnf,capacity2_violation,66.821856,UNSATISFIABLE,UNSAT,COMPLETE,284860
budget=1000000,023_capacity2_violation_s6_n0.cnf,capacity2_violation,5040.732596,ERROR,UNKNOWN,,
budget=200000,024_capacity2_violation_s6_n100.cnf,capacity2_violation,5039.699613,ERROR,UNKNOWN,,
budget=200000,025_capacity2_violation_s7_n0.cnf,capacity2_violation,5040.199353,ERROR,UNKNOWN,,
budget=200000,026_capacity2_violation_s7_n100.cnf,capacity2_violation,5041.344527,ERROR,UNKNOWN,,
budget=200000,027_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,10.538444,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=200000,028_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,10.293131,UNSATISFIABLE,UNSAT,COMPLETE,2531
budget=200000,029_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,18.769571,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=300000,024_capacity2_violation_s6_n100.cnf,capacity2_violation,5039.895373,ERROR,UNKNOWN,,
budget=300000,025_capacity2_violation_s7_n0.cnf,capacity2_violation,5040.406497,ERROR,UNKNOWN,,
budget=300000,026_capacity2_violation_s7_n100.cnf,capacity2_violation,5040.978872,ERROR,UNKNOWN,,
budget=300000,027_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,10.937619,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=300000,028_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,11.10922,UNSATISFIABLE,UNSAT,COMPLETE,2531
budget=300000,029_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,19.155803,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=500000,024_capacity2_violation_s6_n100.cnf,capacity2_violation,5040.262959,ERROR,UNKNOWN,,
budget=500000,025_capacity2_violation_s7_n0.cnf,capacity2_violation,5041.159062,ERROR,UNKNOWN,,
budget=500000,026_capacity2_violation_s7_n100.cnf,capacity2_violation,5041.166491,ERROR,UNKNOWN,,
budget=500000,027_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,10.381492,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=500000,028_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,10.25062,UNSATISFIABLE,UNSAT,COMPLETE,2531
budget=500000,029_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,18.521665,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=1000000,024_capacity2_violation_s6_n100.cnf,capacity2_violation,5039.838287,ERROR,UNKNOWN,,
budget=1000000,025_capacity2_violation_s7_n0.cnf,capacity2_violation,5039.07982,ERROR,UNKNOWN,,
budget=1000000,026_capacity2_violation_s7_n100.cnf,capacity2_violation,5038.99711,ERROR,UNKNOWN,,
budget=1000000,027_hidden_pigeonhole_s6_n0.cnf,hidden_pigeonhole,10.6719,UNSATISFIABLE,UNSAT,COMPLETE,2529
budget=1000000,028_hidden_pigeonhole_s6_n100.cnf,hidden_pigeonhole,10.691777,UNSATISFIABLE,UNSAT,COMPLETE,2531
budget=1000000,029_hidden_pigeonhole_s8_n0.cnf,hidden_pigeonhole,18.333645,UNSATISFIABLE,UNSAT,COMPLETE,12060
budget=200000,030_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,19.208688,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=200000,031_hidden_pigeonhole_s9_n0.cnf,hidden_pigeonhole,36.138338,UNSATISFIABLE,UNSAT,COMPLETE,22599
budget=200000,032_hidden_pigeonhole_s9_n100.cnf,hidden_pigeonhole,35.957094,UNSATISFIABLE,UNSAT,COMPLETE,22604
budget=200000,033_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,19.486128,SATISFIABLE,FEASIBLE,COMPLETE,40960
budget=200000,034_satisfiable_capacity_control_s18_n0.cnf,satisfiable_capacity_control,68.161638,SATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=200000,035_satisfiable_capacity_control_s24_n0.cnf,satisfiable_capacity_control,118.297713,SATISFIABLE,UNKNOWN,UNKNOWN,200001
budget=300000,030_hidden_pigeonhole_s8_n100.cnf,hidden_pigeonhole,19.55548,UNSATISFIABLE,UNSAT,COMPLETE,12062
budget=300000,031_hidden_pigeonhole_s9_n0.cnf,hidden_pigeonhole,35.425195,UNSATISFIABLE,UNSAT,COMPLETE,22599
budget=300000,032_hidden_pigeonhole_s9_n100.cnf,hidden_pigeonhole,35.90364,UNSATISFIABLE,UNSAT,COMPLETE,22604
budget=300000,033_satisfiable_capacity_control_s10_n0.cnf,satisfiable_capacity_control,36.537573,SATISFIABLE,FEASIBLE,COMPLETE,40960
