instance,family,scale,variant,variables,clauses,cnf_sha256,solver,runtime_ms,status,timed_out,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,fallback_ms,structural_result,fallback_used,peak_rss_kb,witness_check_ms
010_capacity2_violation_scale7_phase4a_sweep.cnf,capacity2_violation,7,phase4a_sweep,105,3515,be1ee15e5c96254630e90af570545198f61668985441c3abf8d2cbc9b54ad625,cadical,5035.066188,TIMEOUT,True,,,,,,,,,1708,
010_capacity2_violation_scale7_phase4a_sweep.cnf,capacity2_violation,7,phase4a_sweep,105,3515,be1ee15e5c96254630e90af570545198f61668985441c3abf8d2cbc9b54ad625,kissat,5038.189242,TIMEOUT,True,,,,,,,,,1624,
011_capacity2_violation_scale8_phase4a_sweep.cnf,capacity2_violation,8,phase4a_sweep,136,5933,0b5cafd1773afe0c13ed23de8f6586cf95c29a9bdb91f2e68564ec2967e1699a,native_lkk,5038.09705,TIMEOUT,True,,,,,,,,,1748,0.0
011_capacity2_violation_scale8_phase4a_sweep.cnf,capacity2_violation,8,phase4a_sweep,136,5933,0b5cafd1773afe0c13ed23de8f6586cf95c29a9bdb91f2e68564ec2967e1699a,cadical,5039.753445,TIMEOUT,True,,,,,,,,,1656,
011_capacity2_violation_scale8_phase4a_sweep.cnf,capacity2_violation,8,phase4a_sweep,136,5933,0b5cafd1773afe0c13ed23de8f6586cf95c29a9bdb91f2e68564ec2967e1699a,kissat,5035.837731,TIMEOUT,True,,,,,,,,,1656,
012_exact_r_allocation_scale11_phase4a_profile.cnf,exact_r_allocation,11,phase4a_profile,66,1221,748d66cdb044d673f5f8343a4b5673ec60dd7a6043ce077dc46ab6c329521858,native_lkk,5036.704277,TIMEOUT,True,,,,,,,,,1756,0.0
012_exact_r_allocation_scale11_phase4a_profile.cnf,exact_r_allocation,11,phase4a_profile,66,1221,748d66cdb044d673f5f8343a4b5673ec60dd7a6043ce077dc46ab6c329521858,cadical,5034.231794,TIMEOUT,True,,,,,,,,,1752,
012_exact_r_allocation_scale11_phase4a_profile.cnf,exact_r_allocation,11,phase4a_profile,66,1221,748d66cdb044d673f5f8343a4b5673ec60dd7a6043ce077dc46ab6c329521858,kissat,5037.330986,TIMEOUT,True,,,,,,,,,1652,
013_overlapping_hall_violation_scale8_phase4a_sweep.cnf,overlapping_hall_violation,8,phase4a_sweep,144,1097,7f4e2393a53ceb368001fc2ca3839d962714822710d22b1118d59e0e74cfe6f1,native_lkk,819.865196,UNSATISFIABLE,False,2.22458,0.155604,0.361999,351.274,0,444.446,UNKNOWN,True,6848,0.0
013_overlapping_hall_violation_scale8_phase4a_sweep.cnf,overlapping_hall_violation,8,phase4a_sweep,144,1097,7f4e2393a53ceb368001fc2ca3839d962714822710d22b1118d59e0e74cfe6f1,cadical,518.958498,UNSATISFIABLE,False,,,,,,,,,3476,
