instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,1,kissat,368.47738,UNSATISFIABLE,368.47738,False,,,,,,,,368.47738,3276
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,2,lkk_4c_indexed,37.313944,UNSATISFIABLE,37.313944,False,UNSAT,False,10.3479,63154,0.488983,0.089558,0,15.8109,4884
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,2,cadical,4788.652554,UNSATISFIABLE,4788.652554,False,,,,,,,,4788.652554,7208
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,2,kissat,368.932471,UNSATISFIABLE,368.932471,False,,,,,,,,368.932471,3020
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,2,lkk_4a_sealed,4435.878326,UNSATISFIABLE,4435.878326,False,UNKNOWN,True,410.562,200001,0.420086,0,4005.16,4420.79,10500
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,3,cadical,3280.497565,UNSATISFIABLE,3280.497565,False,,,,,,,,3280.497565,5916
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,3,kissat,369.050402,UNSATISFIABLE,369.050402,False,,,,,,,,369.050402,2736
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,3,lkk_4a_sealed,3582.645748,UNSATISFIABLE,3582.645748,False,UNKNOWN,True,352.852,200001,0.449131,0,3179.06,3536.52,8972
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,3,lkk_4c_indexed,35.321814,UNSATISFIABLE,35.321814,False,UNSAT,False,9.97109,63154,0.472896,0.092287,0,15.2737,4968
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,1,lkk_4c_indexed,67.764799,UNSATISFIABLE,67.764799,False,UNSAT,False,41.9784,284856,0.302217,0.014391,0,46.7162,4580
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,1,cadical,670.051477,UNSATISFIABLE,670.051477,False,,,,,,,,670.051477,4784
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,1,kissat,268.602972,UNSATISFIABLE,268.602972,False,,,,,,,,268.602972,2820
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,1,lkk_4a_sealed,268.644908,UNSATISFIABLE,268.644908,False,UNSAT,False,236.688,31295,0.286712,0.015588,0,241.564,4412
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,2,cadical,1121.951741,UNSATISFIABLE,1121.951741,False,,,,,,,,1121.951741,4740
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,2,kissat,319.202553,UNSATISFIABLE,319.202553,False,,,,,,,,319.202553,2828
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,2,lkk_4a_sealed,269.593888,UNSATISFIABLE,269.593888,False,UNSAT,False,248.463,31295,0.333085,0.01638,0,254.199,4216
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,2,lkk_4c_indexed,118.470464,UNSATISFIABLE,118.470464,False,UNSAT,False,62.4083,284856,0.368684,0.020439,0,67.93,4588
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,3,kissat,320.036781,UNSATISFIABLE,320.036781,False,,,,,,,,320.036781,2824
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,3,lkk_4a_sealed,269.114072,UNSATISFIABLE,269.114072,False,UNSAT,False,225.696,31295,0.292896,0.012978,0,229.75,4308
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,3,lkk_4c_indexed,66.95152,UNSATISFIABLE,66.95152,False,UNSAT,False,46.1877,284856,0.264971,0.015464,0,50.6751,4608
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,3,cadical,1776.606546,UNSATISFIABLE,1776.606546,False,,,,,,,,1776.606546,7948
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,1,cadical,1974.885643,UNSATISFIABLE,1974.885643,False,,,,,,,,1974.885643,8560
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,1,kissat,219.034032,UNSATISFIABLE,219.034032,False,,,,,,,,219.034032,2752
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,1,lkk_4a_sealed,420.120871,UNSATISFIABLE,420.120871,False,UNSAT,False,369.449,156146,0.928127,0.028803,0,377.569,4696
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,1,lkk_4c_indexed,68.157947,UNSATISFIABLE,68.157947,False,UNSAT,False,42.9037,284858,0.679684,0.01704,0,48.3968,4880
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,2,kissat,268.228249,UNSATISFIABLE,268.228249,False,,,,,,,,268.228249,2928
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,2,lkk_4a_sealed,419.780947,UNSATISFIABLE,419.780947,False,UNSAT,False,352.165,156146,1.07426,0.01597,0,361.039,4700
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,2,lkk_4c_indexed,118.152674,UNSATISFIABLE,118.152674,False,UNSAT,False,52.992,284858,0.780625,0.017393,0,59.1894,4772
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,2,cadical,1576.043894,UNSATISFIABLE,1576.043894,False,,,,,,,,1576.043894,6748
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,3,lkk_4a_sealed,368.91874,UNSATISFIABLE,368.91874,False,UNSAT,False,318.372,156146,0.627299,0.01825,0,323.843,4596
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,3,lkk_4c_indexed,117.606149,UNSATISFIABLE,117.606149,False,UNSAT,False,67.2477,284858,0.774742,0.01947,0,73.4792,4876
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,3,cadical,1222.952761,UNSATISFIABLE,1222.952761,False,,,,,,,,1222.952761,6816
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,3,kissat,318.874594,UNSATISFIABLE,318.874594,False,,,,,,,,318.874594,2912
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,1,kissat,117.798491,UNSATISFIABLE,117.798491,False,,,,,,,,117.798491,2464
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,1,lkk_4a_sealed,67.309315,UNSATISFIABLE,67.309315,False,UNSAT,False,36.2102,117666,1.29189,0.028117,0,41.7461,4628
