timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,116.414183,SATISFIABLE,False,60.0
5.0,4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,117.150149,SATISFIABLE,False,60.0
5.0,g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,A_cadical,60004.418124,TIMEOUT,True,60.0
5.0,g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,B_kissat,60049.553695,TIMEOUT,True,60.0
5.0,uf250-086.cnf,resource_allocation_like,random_control,A_cadical,17.472583,TIMEOUT,True,60.0
5.0,uf250-086.cnf,resource_allocation_like,random_control,B_kissat,17.48281,TIMEOUT,True,60.0
5.0,mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,27977.151097,TIMEOUT,True,60.0
5.0,mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60037.419528,TIMEOUT,True,60.0
5.0,mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,A_cadical,20496.460976,TIMEOUT,True,60.0
5.0,mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,B_kissat,60014.656628,TIMEOUT,True,60.0
5.0,jnh203.cnf,resource_allocation_like,crafted_structured,A_cadical,67.171627,UNSATISFIABLE,False,60.0
5.0,jnh203.cnf,resource_allocation_like,crafted_structured,B_kissat,17.573748,UNSATISFIABLE,False,60.0
5.0,par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,42575.78258,TIMEOUT,True,60.0
5.0,par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60034.769795,TIMEOUT,True,60.0
5.0,j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,A_cadical,41322.226881,TIMEOUT,True,60.0
5.0,j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,B_kissat,30331.848513,TIMEOUT,True,60.0
5.0,uuf250-026.cnf,resource_allocation_like,random_control,A_cadical,17.542566,TIMEOUT,True,60.0
