instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,27977.151097,SATISFIABLE,False
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60037.419528,TIMEOUT,True
mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,20496.460976,SATISFIABLE,False
mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60014.656628,TIMEOUT,True
jnh203.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,67.171627,UNSATISFIABLE,False
jnh203.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,17.573748,UNSATISFIABLE,False
par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,42575.78258,SATISFIABLE,False
par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60034.769795,TIMEOUT,True
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,41322.226881,UNSATISFIABLE,False
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,30331.848513,UNSATISFIABLE,False
uuf250-026.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.542566,UNKNOWN,False
uuf250-026.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.377165,UNKNOWN,False
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60040.074116,TIMEOUT,True
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60038.551203,TIMEOUT,True
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60034.540921,TIMEOUT,True
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60018.264613,TIMEOUT,True
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60039.969908,TIMEOUT,True
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60041.025877,TIMEOUT,True
pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,66.547579,UNSATISFIABLE,False
pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,17.982768,UNSATISFIABLE,False
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60013.112887,TIMEOUT,True
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60048.045413,TIMEOUT,True
flat200-41.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,116.858148,SATISFIABLE,False
flat200-41.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,67.132835,SATISFIABLE,False
par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,60041.154844,TIMEOUT,True
par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60043.130409,TIMEOUT,True
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60038.125253,TIMEOUT,True
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60046.671636,TIMEOUT,True
uf250-06.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.685598,UNKNOWN,False
uf250-06.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.66373,UNKNOWN,False
par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,116.633423,SATISFIABLE,False
par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,34.393375,SATISFIABLE,False
goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60018.947318,TIMEOUT,True
goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60016.942514,TIMEOUT,True
flat200-60.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.328213,SATISFIABLE,False
flat200-60.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,33.778688,SATISFIABLE,False
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60020.411176,TIMEOUT,True
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,20508.457916,SATISFIABLE,False
uf200-05.cnf,resource_allocation_like,random_control,A_cadical,60.0,18.140156,UNKNOWN,False
uf200-05.cnf,resource_allocation_like,random_control,B_kissat,60.0,18.782464,UNKNOWN,False
