run_order,instance,family,scale,variant,noise_percent,variables,clauses,cnf_sha256,expected_result,repetition,timeout_seconds,solver,solver_version,binary_sha256,seed,runtime_ms,status,timed_out,exit_code,peak_rss_kb,conflicts,decisions,propagations,raw_log,benefit_gate_decision,benefit_gate_ms,benefit_gate_reason,boxes_found,fallback_cdcl_ms,fallback_exit_code,fallback_status,fallback_timed_out,fallback_used,final_result,flow_edges,flow_ms,flow_nodes,gate_decision,gate_ms,gate_reason,gate_signals,maximum_flow,recovery_ms,recovery_reason,recovery_status,registry_ms,registry_reason,registry_status,resources_found,structural_result,total_demand,total_lkk_hybrid_ms,witness_file,witness_valid,total_lkk_end_to_end_ms
11,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,4485.847817,UNSATISFIABLE,False,20,7748,20,377336,3541195,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00011__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,469.765101,UNSATISFIABLE,False,20,3124,30284,45848,895524,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00012__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,4335.595672,UNSATISFIABLE,False,20,7544,24,399324,3686368,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00013__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,519.888725,UNSATISFIABLE,False,20,3128,33371,49462,974886,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00014__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,2,319.211446,UNSATISFIABLE,False,0,20204,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00015__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed2__rep1.log,RUN_LKK,0.006431,"deterministic_accept(signal_count=775,clauses=775)",10,0.0,,NOT_RUN,False,False,UNSATISFIABLE,109,0.288896,21,RUN_LKK,2.996959,monotone_cardinality_signal,"{""estimated_resolution_pairs"":1530,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":765,""monotone_positive_clauses"":10}",9,2.705114,fixed_point,COMPLETE,122.555043,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,178.040683,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00015__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed2__rep1.witness.json,True,319.211446
16,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,520.522213,UNSATISFIABLE,False,20,3008,29487,45208,826551,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00016__002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,3,320.197756,UNSATISFIABLE,False,0,20236,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00017__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed3__rep1.log,RUN_LKK,0.005221,"deterministic_accept(signal_count=775,clauses=775)",10,0.0,,NOT_RUN,False,False,UNSATISFIABLE,109,0.26327,21,RUN_LKK,3.058866,monotone_cardinality_signal,"{""estimated_resolution_pairs"":1530,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":765,""monotone_positive_clauses"":10}",9,2.376828,fixed_point,COMPLETE,115.409488,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,163.267861,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00017__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed3__rep1.witness.json,True,320.197756
18,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,5040.791536,TIMEOUT,True,137,1648,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00018__002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,219.469925,UNSATISFIABLE,False,20,2884,0,17793,181743,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00019__003_exact_r_allocation_boundary_low_scale9_noise0__cadical__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,168.92393,UNSATISFIABLE,False,20,2256,8181,10125,233008,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00020__003_exact_r_allocation_boundary_low_scale9_noise0__kissat__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,lkk_hybrid,,,1,620.619032,UNSATISFIABLE,False,0,19920,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00021__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed1__rep1.log,RUN_LKK,0.006815,"deterministic_accept(signal_count=555,clauses=555)",5,0.0,,NOT_RUN,False,False,UNSATISFIABLE,59,0.199387,16,RUN_LKK,4.055306,monotone_cardinality_signal,"{""estimated_resolution_pairs"":11520,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":510,""monotone_positive_clauses"":45}",9,2.03468,fixed_point,COMPLETE,381.980464,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,430.981502,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00021__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed1__rep1.witness.json,True,620.619032
22,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,219.580636,UNSATISFIABLE,False,20,2524,10118,14252,278052,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00022__003_exact_r_allocation_boundary_low_scale9_noise0__kissat__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,lkk_hybrid,,,2,620.06258,UNSATISFIABLE,False,0,19920,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00023__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed2__rep1.log,RUN_LKK,0.026996,"deterministic_accept(signal_count=555,clauses=555)",5,0.0,,NOT_RUN,False,False,UNSATISFIABLE,59,0.213116,16,RUN_LKK,5.395515,monotone_cardinality_signal,"{""estimated_resolution_pairs"":11520,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":510,""monotone_positive_clauses"":45}",9,3.052267,fixed_point,COMPLETE,364.477975,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,416.409941,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00023__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed2__rep1.witness.json,True,620.06258
24,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,269.10863,UNSATISFIABLE,False,20,2856,0,17819,183093,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00024__003_exact_r_allocation_boundary_low_scale9_noise0__cadical__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,lkk_hybrid,,,3,671.031539,UNSATISFIABLE,False,0,19932,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00025__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed3__rep1.log,RUN_LKK,0.013036,"deterministic_accept(signal_count=555,clauses=555)",5,0.0,,NOT_RUN,False,False,UNSATISFIABLE,59,0.372854,16,RUN_LKK,3.948224,monotone_cardinality_signal,"{""estimated_resolution_pairs"":11520,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":510,""monotone_positive_clauses"":45}",9,2.460018,fixed_point,COMPLETE,435.242676,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,489.155396,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00025__003_exact_r_allocation_boundary_low_scale9_noise0__lkk_hybrid__seed3__rep1.witness.json,True,671.031539
26,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,220.623353,UNSATISFIABLE,False,20,2800,0,17158,177501,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00026__003_exact_r_allocation_boundary_low_scale9_noise0__cadical__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,45,555,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,168.456085,UNSATISFIABLE,False,20,2032,10694,14407,253882,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00027__003_exact_r_allocation_boundary_low_scale9_noise0__kissat__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,5039.856283,TIMEOUT,True,137,1744,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00028__004_exact_r_allocation_boundary_high_scale11_noise0__kissat__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,lkk_hybrid,,,1,5036.749212,TIMEOUT,True,137,1696,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00029__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_hybrid__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,
30,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,5036.770355,TIMEOUT,True,137,1696,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00030__004_exact_r_allocation_boundary_high_scale11_noise0__cadical__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,lkk_hybrid,,,2,5036.229388,TIMEOUT,True,137,1724,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00031__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_hybrid__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,
32,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,5036.445586,TIMEOUT,True,137,1688,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00032__004_exact_r_allocation_boundary_high_scale11_noise0__cadical__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,5036.625666,TIMEOUT,True,137,1700,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00033__004_exact_r_allocation_boundary_high_scale11_noise0__kissat__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,5036.256041,TIMEOUT,True,137,1724,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00034__004_exact_r_allocation_boundary_high_scale11_noise0__cadical__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,5038.070854,TIMEOUT,True,137,1728,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00035__004_exact_r_allocation_boundary_high_scale11_noise0__kissat__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,66,1221,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11,UNSATISFIABLE,1,5.0,lkk_hybrid,,,3,5037.919799,TIMEOUT,True,137,1612,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00036__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_hybrid__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,
