instance,family,noise_percent,hidden,budget_probe,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
011_bipartite_matching_noise100.cnf,bipartite_matching,100,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.541114,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/011_bipartite_matching_noise100__cadical.log,19.518911,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/011_bipartite_matching_noise100__kissat.log,False
012_bipartite_matching_noise200.cnf,bipartite_matching,200,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,66.640024,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/012_bipartite_matching_noise200__cadical.log,19.187849,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/012_bipartite_matching_noise200__kissat.log,False
013_overlapping_hall_violation_noise0.cnf,overlapping_hall_violation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.679276,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/013_overlapping_hall_violation_noise0__cadical.log,10.384617,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/013_overlapping_hall_violation_noise0__kissat.log,False
014_overlapping_hall_violation_noise50.cnf,overlapping_hall_violation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.558953,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/014_overlapping_hall_violation_noise50__cadical.log,19.494990,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/014_overlapping_hall_violation_noise50__kissat.log,False
015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.039993,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__cadical.log,18.410231,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__kissat.log,False
016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.346962,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__cadical.log,9.916233,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__kissat.log,False
017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,0,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.063637,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__cadical.log,18.660594,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__kissat.log,False
018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,50,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.629659,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__cadical.log,18.779222,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__kissat.log,False
019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,100,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.061251,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__cadical.log,18.245964,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__kissat.log,False
020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,200,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.765784,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__cadical.log,18.675352,False,10,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__kissat.log,False
021_capacity_violation_noise0.cnf,capacity_violation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.040400,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/021_capacity_violation_noise0__cadical.log,18.305271,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/021_capacity_violation_noise0__kissat.log,False
022_capacity_violation_noise50.cnf,capacity_violation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.833593,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/022_capacity_violation_noise50__cadical.log,19.125369,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/022_capacity_violation_noise50__kissat.log,False
023_capacity_violation_noise100.cnf,capacity_violation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.383994,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/023_capacity_violation_noise100__cadical.log,19.986430,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/023_capacity_violation_noise100__kissat.log,False
024_capacity_violation_noise200.cnf,capacity_violation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.223052,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/024_capacity_violation_noise200__cadical.log,18.909009,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/024_capacity_violation_noise200__kissat.log,False
025_hidden_cardinality_noise0.cnf,hidden_cardinality,0,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.610687,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/025_hidden_cardinality_noise0__cadical.log,19.042654,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/025_hidden_cardinality_noise0__kissat.log,False
026_hidden_cardinality_noise50.cnf,hidden_cardinality,50,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.121626,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/026_hidden_cardinality_noise50__cadical.log,18.748390,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/026_hidden_cardinality_noise50__kissat.log,False
027_hidden_cardinality_noise100.cnf,hidden_cardinality,100,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.172385,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/027_hidden_cardinality_noise100__cadical.log,19.088961,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/027_hidden_cardinality_noise100__kissat.log,False
028_hidden_cardinality_noise200.cnf,hidden_cardinality,200,True,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.287035,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/028_hidden_cardinality_noise200__cadical.log,18.316159,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/028_hidden_cardinality_noise200__kissat.log,False
029_recovery_budget_abort_control_noise0.cnf,recovery_budget_abort_control,0,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,67.796572,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/029_recovery_budget_abort_control_noise0__cadical.log,18.470471,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/029_recovery_budget_abort_control_noise0__kissat.log,False
030_recovery_budget_abort_control_noise50.cnf,recovery_budget_abort_control,50,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,67.707232,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/030_recovery_budget_abort_control_noise50__cadical.log,17.953501,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/030_recovery_budget_abort_control_noise50__kissat.log,False
031_recovery_budget_abort_control_noise100.cnf,recovery_budget_abort_control,100,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,67.115468,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/031_recovery_budget_abort_control_noise100__cadical.log,19.296141,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/031_recovery_budget_abort_control_noise100__kissat.log,False
032_recovery_budget_abort_control_noise200.cnf,recovery_budget_abort_control,200,True,True,UNSATISFIABLE,UNSATISFIABLE,UNKNOWN,False,True,UNSATISFIABLE,UNSATISFIABLE,66.636049,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/032_recovery_budget_abort_control_noise200__cadical.log,18.264792,False,20,results/phase2/20260816Tphase2validation01Z/logs/crosscheck/032_recovery_budget_abort_control_noise200__kissat.log,False
