instance,stratum,mode,runtime_ms,status
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,D_lkk_kissat,60046.2304,TIMEOUT
uuf200-051.cnf,resource_allocation_like,C_lkk_cadical,668.896301,UNSATISFIABLE
uuf200-051.cnf,resource_allocation_like,D_lkk_kissat,618.145706,UNSATISFIABLE
par32-1-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60048.502468,TIMEOUT
par32-1-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60042.81197,TIMEOUT
noL-11-16.sanitized.cnf,matching_hall_like,C_lkk_cadical,27375.545659,SATISFIABLE
noL-11-16.sanitized.cnf,matching_hall_like,D_lkk_kissat,42927.061461,SATISFIABLE
j3037_10_mdd_b.cnf,no_useful_detected_structure,C_lkk_cadical,7343.810185,SATISFIABLE
j3037_10_mdd_b.cnf,no_useful_detected_structure,D_lkk_kissat,25813.477247,SATISFIABLE
Break_08_24.xml.cnf,resource_allocation_like,C_lkk_cadical,518.709108,SATISFIABLE
Break_08_24.xml.cnf,resource_allocation_like,D_lkk_kissat,668.394962,SATISFIABLE
dubois25.cnf,cardinality_exact_r_heavy,C_lkk_cadical,17.561954,UNSATISFIABLE
dubois25.cnf,cardinality_exact_r_heavy,D_lkk_kissat,34.007762,UNSATISFIABLE
Folkman-180-5383714.sanitized.cnf,matching_hall_like,C_lkk_cadical,60010.099335,TIMEOUT
Folkman-180-5383714.sanitized.cnf,matching_hall_like,D_lkk_kissat,60051.406382,TIMEOUT
Dodecahedron-k7.cnf,no_useful_detected_structure,C_lkk_cadical,60020.372782,TIMEOUT
Dodecahedron-k7.cnf,no_useful_detected_structure,D_lkk_kissat,60008.432797,TIMEOUT
uf250-059.cnf,resource_allocation_like,C_lkk_cadical,267.486354,SATISFIABLE
uf250-059.cnf,resource_allocation_like,D_lkk_kissat,116.994322,SATISFIABLE
2bitadd_10.cnf,cardinality_exact_r_heavy,C_lkk_cadical,10405.222254,UNSATISFIABLE
2bitadd_10.cnf,cardinality_exact_r_heavy,D_lkk_kissat,969.621536,UNSATISFIABLE
bmc-galileo-9.cnf,no_useful_detected_structure,C_lkk_cadical,1221.218713,SATISFIABLE
bmc-galileo-9.cnf,no_useful_detected_structure,D_lkk_kissat,1171.580588,SATISFIABLE
uuf200-07.cnf,resource_allocation_like,C_lkk_cadical,468.350242,UNSATISFIABLE
uuf200-07.cnf,resource_allocation_like,D_lkk_kissat,417.69579,UNSATISFIABLE
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,C_lkk_cadical,27375.678259,SATISFIABLE
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60052.593658,TIMEOUT
par32-3.cnf,no_useful_detected_structure,C_lkk_cadical,60043.066418,TIMEOUT
par32-3.cnf,no_useful_detected_structure,D_lkk_kissat,60043.511959,TIMEOUT
flat200-77.cnf,resource_allocation_like,C_lkk_cadical,33.878313,SATISFIABLE
flat200-77.cnf,resource_allocation_like,D_lkk_kissat,66.016698,SATISFIABLE
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60045.02789,TIMEOUT
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60038.955983,TIMEOUT
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,1723.537177,UNSATISFIABLE
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,719.026303,UNSATISFIABLE
flat200-96.cnf,resource_allocation_like,C_lkk_cadical,116.692604,SATISFIABLE
flat200-96.cnf,resource_allocation_like,D_lkk_kissat,65.995826,SATISFIABLE
4blocksb.cnf,cardinality_exact_r_heavy,C_lkk_cadical,216.910602,SATISFIABLE
4blocksb.cnf,cardinality_exact_r_heavy,D_lkk_kissat,267.987566,SATISFIABLE
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,C_lkk_cadical,60015.624594,TIMEOUT
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,D_lkk_kissat,41835.750421,SATISFIABLE
uf250-086.cnf,resource_allocation_like,C_lkk_cadical,719.21032,SATISFIABLE
uf250-086.cnf,resource_allocation_like,D_lkk_kissat,1020.309492,SATISFIABLE
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60048.847656,TIMEOUT
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60044.28026,TIMEOUT
mp1-Nb7T42.cnf,no_useful_detected_structure,C_lkk_cadical,20500.591187,SATISFIABLE
mp1-Nb7T42.cnf,no_useful_detected_structure,D_lkk_kissat,60009.621403,TIMEOUT
jnh203.cnf,resource_allocation_like,C_lkk_cadical,34.185732,UNSATISFIABLE
jnh203.cnf,resource_allocation_like,D_lkk_kissat,66.667284,UNSATISFIABLE
par32-2-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60043.641125,TIMEOUT
par32-2-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60049.552691,TIMEOUT
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,C_lkk_cadical,47853.543192,UNSATISFIABLE
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,D_lkk_kissat,33143.490461,UNSATISFIABLE
uuf250-026.cnf,resource_allocation_like,C_lkk_cadical,1823.431062,UNSATISFIABLE
uuf250-026.cnf,resource_allocation_like,D_lkk_kissat,1571.543337,UNSATISFIABLE
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60010.48773,TIMEOUT
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60033.447007,TIMEOUT
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60022.499019,TIMEOUT
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60023.653571,TIMEOUT
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60054.324045,TIMEOUT
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60025.111102,TIMEOUT
pret150_75.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.199613,UNSATISFIABLE
pret150_75.cnf,cardinality_exact_r_heavy,D_lkk_kissat,117.291966,UNSATISFIABLE
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,C_lkk_cadical,60026.305067,TIMEOUT
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,D_lkk_kissat,60008.217364,TIMEOUT
flat200-41.cnf,resource_allocation_like,C_lkk_cadical,67.429263,SATISFIABLE
flat200-41.cnf,resource_allocation_like,D_lkk_kissat,66.686145,SATISFIABLE
par32-5-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60050.375678,TIMEOUT
par32-5-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60046.505005,TIMEOUT
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60046.767015,TIMEOUT
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,60015.645955,TIMEOUT
uf250-06.cnf,resource_allocation_like,C_lkk_cadical,267.397333,SATISFIABLE
uf250-06.cnf,resource_allocation_like,D_lkk_kissat,116.745785,SATISFIABLE
par16-4-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.095712,SATISFIABLE
par16-4-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,116.635871,SATISFIABLE
goldcrest-and-9.cnf,no_useful_detected_structure,C_lkk_cadical,60032.389292,TIMEOUT
goldcrest-and-9.cnf,no_useful_detected_structure,D_lkk_kissat,60038.558895,TIMEOUT
flat200-60.cnf,resource_allocation_like,C_lkk_cadical,67.222137,SATISFIABLE
flat200-60.cnf,resource_allocation_like,D_lkk_kissat,66.464447,SATISFIABLE
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,C_lkk_cadical,43461.400907,SATISFIABLE
