instance,mode,seed,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_overhead_ms,total_end_to_end_ms,structural_result,fallback_used,peak_rss_kb
logistics.b.cnf,C_lkk_cadical,1,6.09416,1.66493,2.18187,2.70562,0,0,3.48878,0,0,18.6306,UNKNOWN,True,7272
logistics.b.cnf,D_lkk_kissat,1,6.67609,1.11098,1.91579,2.20706,0,0,54.8541,3.75744,18.6115,79.3509,UNKNOWN,True,6180
logistics.b.cnf,E_lkk_selector,1,5.63335,1.13231,2.02711,2.3126,0,0,63.8646,3.14564,27.0102,88.4685,UNKNOWN,True,6176
logistics.c.cnf,C_lkk_cadical,1,7.11108,1.93431,2.99612,3.35838,0,0,5.78673,0,0,23.8788,UNKNOWN,True,8652
logistics.c.cnf,D_lkk_kissat,1,7.35168,1.83462,3.04019,3.83897,0,0,65.2777,5.32768,30.6053,97.2886,UNKNOWN,True,7464
logistics.c.cnf,E_lkk_selector,1,7.00717,1.88817,2.95759,3.24691,0,0,93.4377,4.46697,37.9047,125.026,UNKNOWN,True,7368
logistics.d.cnf,C_lkk_cadical,1,24.6858,4.38876,8.62021,5.06594,0,0,15.5959,0,0,66.0797,UNKNOWN,True,12828
logistics.d.cnf,D_lkk_kissat,1,15.4107,4.49759,7.42804,3.7445,0,0,78.4296,8.07521,36.5048,131.335,UNKNOWN,True,10412
logistics.d.cnf,E_lkk_selector,1,12.9141,4.16386,7.14672,4.07618,0,0,70.8787,8.26994,29.1487,119.288,UNKNOWN,True,10456
bw_large.a.cnf,D_lkk_kissat,1,13.2187,0.569687,1.32232,1.30081,0,0,50.0457,2.42313,12.4688,76.5713,UNKNOWN,True,5660
bw_large.a.cnf,E_lkk_selector,1,3.76164,0.605733,1.28139,1.31156,0,0,46.0238,2.28798,18.3118,65.2313,UNKNOWN,True,5524
bw_large.a.cnf,C_lkk_cadical,1,4.31592,0.62154,1.36641,1.39081,0,0,1.32745,0,0,10.218,UNKNOWN,True,6356
bw_large.c.cnf,E_lkk_selector,1,37.1102,11.6482,0,0,0,0,65.2849,0,0,120.203,UNKNOWN,True,16248
bw_large.c.cnf,C_lkk_cadical,1,34.9509,12.0794,0,0,0,0,52.4883,0,0,105.575,UNKNOWN,True,16000
bw_large.c.cnf,D_lkk_kissat,1,26.3455,9.15557,0,0,0,0,131.495,15.5565,37.0516,198.075,UNKNOWN,True,11140
bw_large.d.cnf,C_lkk_cadical,1,98.7243,34.463,0,0,0,0,442.109,0,0,597.628,UNKNOWN,True,37888
bw_large.d.cnf,D_lkk_kissat,1,80.4967,26.3369,0,0,0,0,712.282,42.8195,-244.899,888.025,UNKNOWN,True,22792
bw_large.d.cnf,E_lkk_selector,1,95.3947,31.1026,0,0,0,0,612.362,35.0269,-352.611,802.399,UNKNOWN,True,23204
anomaly.cnf,C_lkk_cadical,1,2.19675,0.04262,0.091858,0.18557,0,0,0.165011,0,0,3.58129,UNKNOWN,True,5016
anomaly.cnf,D_lkk_kissat,1,3.66277,0.058795,0.099911,0.221196,0,0,15.2702,1.77386,1.77386,33.799,UNKNOWN,True,3996
anomaly.cnf,E_lkk_selector,1,2.52146,0.065102,0.098824,0.213354,0,0,0.252825,0,0,3.85099,UNKNOWN,True,5036
medium.cnf,C_lkk_cadical,1,9.83773,0.134859,0.265602,0.424697,0,0,0.337498,0,0,12.254,UNKNOWN,True,5216
medium.cnf,D_lkk_kissat,1,2.39001,0.136205,0.255456,0.373038,0,0,15.0151,1.70696,1.70696,30.4504,UNKNOWN,True,4296
medium.cnf,E_lkk_selector,1,2.55251,0.144351,0.266843,0.380092,0,0,0.341273,0,0,4.40455,UNKNOWN,True,5088
hanoi4.cnf,D_lkk_kissat,1,17.1782,0.883834,1.58607,1.69467,0.231126,0,90.9739,3.9381,24.912,126.831,FEASIBLE,True,5312
hanoi4.cnf,E_lkk_selector,1,4.60018,0.672862,1.21755,1.29769,0.13568,0,27.3921,0,0,37.0966,FEASIBLE,True,6876
hanoi4.cnf,C_lkk_cadical,1,5.17571,0.796877,1.41108,1.51075,0.171969,0,33.0831,0,0,44.3859,FEASIBLE,True,6856
hanoi5.cnf,E_lkk_selector,1,23.1224,2.94436,4.67773,4.60665,0.199627,0,279.699,0,0,319.082,FEASIBLE,True,10556
hanoi5.cnf,C_lkk_cadical,1,12.2948,2.86047,4.59254,4.205,0.207841,0,293.118,0,0,321.117,FEASIBLE,True,10424
hanoi5.cnf,D_lkk_kissat,1,10.9615,3.27166,4.17346,3.94897,0.180506,0,904.422,7.33163,-88.2464,944.224,FEASIBLE,True,7920
ais10.cnf,C_lkk_cadical,1,4.10126,0.493912,0.7387,10.4873,0.087624,0,0.620871,0,0,17.9036,FEASIBLE,True,5644
ais10.cnf,D_lkk_kissat,1,3.78955,0.417997,0.718828,10.1548,0.084157,0,18.7834,2.46389,2.46389,47.3019,FEASIBLE,True,5096
ais10.cnf,E_lkk_selector,1,4.5757,0.472141,0.77996,11.3712,0.101719,0,0.648315,0,0,19.2836,FEASIBLE,True,5580
ais12.cnf,C_lkk_cadical,1,5.7934,0.717098,1.62645,27.6457,0.03814,0,0.990585,0,0,38.2728,FEASIBLE,True,6356
ais12.cnf,D_lkk_kissat,1,5.85993,0.694026,1.42755,26.9622,0.038711,0,14.9872,4.7806,4.7806,66.3085,FEASIBLE,True,5872
ais12.cnf,E_lkk_selector,1,6.48704,0.761245,1.50951,28.7264,0.043701,0,1.03945,0,0,40.2349,FEASIBLE,True,6220
ais8.cnf,C_lkk_cadical,1,11.6624,0.213323,0.355324,3.40239,0.017002,0,0.446902,0,0,17.0327,FEASIBLE,True,5272
ais8.cnf,D_lkk_kissat,1,3.17182,0.207197,0.377487,3.52455,0.017266,0,15.5009,2.29143,2.29143,34.9689,FEASIBLE,True,4620
ais8.cnf,E_lkk_selector,1,3.49984,0.232744,0.372604,3.96359,0.023101,0,0.745194,0,0,9.87602,FEASIBLE,True,5376
hole7.cnf,D_lkk_kissat,1,9.97774,0.056285,0.085674,1.95158,0.062889,2.54845,0,0,0,15.6865,UNSAT,False,4272
hole7.cnf,E_lkk_selector,1,2.01954,0.036461,0.072572,1.83661,0.013344,2.06131,0,0,0,6.58308,UNSAT,False,4308
hole7.cnf,C_lkk_cadical,1,1.95879,0.042932,0.066735,1.51138,0.011745,1.59953,0,0,0,5.62301,UNSAT,False,4152
hole8.cnf,E_lkk_selector,1,9.02487,0.057402,0.097608,2.85938,0.015766,3.03878,0,0,0,15.7034,UNSAT,False,4316
hole8.cnf,C_lkk_cadical,1,3.60295,0.061675,0.128774,3.81532,0.022446,3.02055,0,0,0,11.3531,UNSAT,False,4192
hole8.cnf,D_lkk_kissat,1,3.28834,0.06946,0.1306,3.30394,0.018696,3.06849,0,0,0,10.6042,UNSAT,False,4292
hole9.cnf,C_lkk_cadical,1,2.10857,0.053878,0.114274,4.3253,0.015097,2.37952,0,0,0,9.73667,UNSAT,False,4212
hole9.cnf,D_lkk_kissat,1,1.90596,0.054387,0.11926,4.50539,0.016454,2.20331,0,0,0,9.27618,UNSAT,False,4332
hole9.cnf,E_lkk_selector,1,1.91735,0.07905,0.11927,4.47478,0.01549,2.16578,0,0,0,9.22288,UNSAT,False,4336
flat200-10.cnf,C_lkk_cadical,1,3.30967,0.266019,0.627917,3.2762,0,0,32.5454,0,0,41.8304,UNKNOWN,True,6636
flat200-10.cnf,D_lkk_kissat,1,4.61684,0.359945,0.876954,5.53335,0,0,65.6874,3.98222,29.6696,95.5879,UNKNOWN,True,5312
flat200-10.cnf,E_lkk_selector,1,2.88973,0.251982,0.629353,3.42563,0,0,42.2255,1.79541,14.0209,59.1564,UNKNOWN,True,5472
