instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,117.194195,SATISFIABLE,False
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60008.106966,TIMEOUT,True
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60015.280977,TIMEOUT,True
uf250-086.cnf,resource_allocation_like,random_control,A_cadical,60.0,618.104042,SATISFIABLE,False
uf250-086.cnf,resource_allocation_like,random_control,B_kissat,60.0,568.877337,SATISFIABLE,False
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,29480.976887,SATISFIABLE,False
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60032.523611,TIMEOUT,True
mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,19795.52133,SATISFIABLE,False
mp1-Nb7T42.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60005.436532,TIMEOUT,True
jnh203.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.560948,UNSATISFIABLE,False
jnh203.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,17.74882,UNSATISFIABLE,False
par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,43878.455493,SATISFIABLE,False
par32-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60036.959612,TIMEOUT,True
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,41826.977161,UNSATISFIABLE,False
j3037_10_mdd_bm1.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,30778.536449,UNSATISFIABLE,False
uuf250-026.cnf,resource_allocation_like,random_control,A_cadical,60.0,2023.194828,UNSATISFIABLE,False
uuf250-026.cnf,resource_allocation_like,random_control,B_kissat,60.0,1672.646977,UNSATISFIABLE,False
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60042.596405,TIMEOUT,True
mdp-32-14-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60053.753935,TIMEOUT,True
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60053.164029,TIMEOUT,True
FmlaEquivChain_4_8_8.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60015.906249,TIMEOUT,True
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60009.936122,TIMEOUT,True
pcmax-scheduling-m13-2011-12813-UNSAT.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60037.288226,TIMEOUT,True
pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,65.941188,UNSATISFIABLE,False
pret150_75.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,34.429191,UNSATISFIABLE,False
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60016.011565,TIMEOUT,True
SGI_30_80_26_70_4-log.shuffled-as.sat03-208.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60021.344635,TIMEOUT,True
flat200-41.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,117.543958,SATISFIABLE,False
flat200-41.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.449925,SATISFIABLE,False
par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,60021.109473,TIMEOUT,True
par32-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60012.085392,TIMEOUT,True
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60045.963349,TIMEOUT,True
pcmax-scheduling-m12-8049-55035-SAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60050.577697,TIMEOUT,True
uf250-06.cnf,resource_allocation_like,random_control,A_cadical,60.0,368.20277,SATISFIABLE,False
uf250-06.cnf,resource_allocation_like,random_control,B_kissat,60.0,117.228278,SATISFIABLE,False
par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,116.706434,SATISFIABLE,False
par16-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,34.160177,SATISFIABLE,False
goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60022.975405,TIMEOUT,True
goldcrest-and-9.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60020.449797,TIMEOUT,True
flat200-60.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.856402,SATISFIABLE,False
flat200-60.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,67.413354,SATISFIABLE,False
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60010.909979,TIMEOUT,True
Timetable_C_392_E_62_Cl_26_S_28.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,20504.92311,SATISFIABLE,False
uf200-05.cnf,resource_allocation_like,random_control,A_cadical,60.0,518.781464,SATISFIABLE,False
uf200-05.cnf,resource_allocation_like,random_control,B_kissat,60.0,267.497722,SATISFIABLE,False
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60054.462352,TIMEOUT,True
1-TC-256-K-71.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60047.384379,TIMEOUT,True
uuf250-033.cnf,resource_allocation_like,random_control,A_cadical,60.0,6642.375557,UNSATISFIABLE,False
uuf250-033.cnf,resource_allocation_like,random_control,B_kissat,60.0,5888.681975,UNSATISFIABLE,False
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60047.646716,TIMEOUT,True
pcmax-scheduling-m26-6398-62377-UNSAT.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60051.749916,TIMEOUT,True
uf200-037.cnf,resource_allocation_like,random_control,A_cadical,60.0,66.238577,SATISFIABLE,False
uf200-037.cnf,resource_allocation_like,random_control,B_kissat,60.0,367.085754,SATISFIABLE,False
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60007.073109,TIMEOUT,True
REGRandom-K3-L3-Seed25.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,1322.122058,UNSATISFIABLE,False
flat75-93.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.696206,SATISFIABLE,False
flat75-93.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.086956,SATISFIABLE,False
Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60013.12208,TIMEOUT,True
Break_triple_20_36.xml.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60007.214401,TIMEOUT,True
jnh310.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.275026,UNSATISFIABLE,False
jnh310.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,18.03171,UNSATISFIABLE,False
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60013.44298,TIMEOUT,True
mp1-klieber2017s-0500-023-t12.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,54577.649707,SATISFIABLE,False
aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,67.191477,SATISFIABLE,False
aim-200-3_4-yes1-1.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,34.055222,SATISFIABLE,False
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,4329.523119,SATISFIABLE,False
g2-ak128boothbg2msisc.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,418.527158,SATISFIABLE,False
uf250-016.cnf,resource_allocation_like,random_control,A_cadical,60.0,367.523859,SATISFIABLE,False
uf250-016.cnf,resource_allocation_like,random_control,B_kissat,60.0,117.074785,SATISFIABLE,False
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60053.279519,TIMEOUT,True
af-synthesis_stb_50_40_9_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60044.678306,TIMEOUT,True
uf200-050.cnf,resource_allocation_like,random_control,A_cadical,60.0,267.649343,SATISFIABLE,False
uf200-050.cnf,resource_allocation_like,random_control,B_kissat,60.0,66.209267,SATISFIABLE,False
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60022.273437,TIMEOUT,True
asconhashv12_opt64_H9_M2-MIC4kfhiA_m0_6_U2.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60012.4414,TIMEOUT,True
ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,A_cadical,60.0,67.036315,SATISFIABLE,False
ssa7552-159.cnf,resource_allocation_like,eda_circuit_fault,B_kissat,60.0,18.278627,SATISFIABLE,False
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,52023.340678,SATISFIABLE,False
atco_enc1_opt1_10_15.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60052.668014,TIMEOUT,True
uf200-077.cnf,resource_allocation_like,random_control,A_cadical,60.0,117.842776,SATISFIABLE,False
uf200-077.cnf,resource_allocation_like,random_control,B_kissat,60.0,117.313985,SATISFIABLE,False
hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60021.375337,TIMEOUT,True
hcp_CP18_18.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60010.214649,TIMEOUT,True
uf200-035.cnf,resource_allocation_like,random_control,A_cadical,60.0,266.756762,SATISFIABLE,False
uf200-035.cnf,resource_allocation_like,random_control,B_kissat,60.0,267.447191,SATISFIABLE,False
EDP3-11000.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60017.781242,TIMEOUT,True
EDP3-11000.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60023.83118,TIMEOUT,True
flat200-74.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,217.328732,SATISFIABLE,False
flat200-74.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,116.915933,SATISFIABLE,False
j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,48960.412865,SATISFIABLE,False
j3037_1_gmto_b.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,39115.257323,SATISFIABLE,False
flat75-12.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.858341,SATISFIABLE,False
flat75-12.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.208883,SATISFIABLE,False
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60006.137989,TIMEOUT,True
af-synthesis_stb_50_140_0_unsat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60052.519666,TIMEOUT,True
uuf200-02.cnf,resource_allocation_like,random_control,A_cadical,60.0,468.129149,UNSATISFIABLE,False
uuf200-02.cnf,resource_allocation_like,random_control,B_kissat,60.0,367.679862,UNSATISFIABLE,False
dubois100.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,66.561206,SATISFIABLE,False
dubois100.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,18.117247,SATISFIABLE,False
huge.cnf,resource_allocation_like,planning_scheduling,A_cadical,60.0,117.08787,SATISFIABLE,False
huge.cnf,resource_allocation_like,planning_scheduling,B_kissat,60.0,66.041251,SATISFIABLE,False
par32-4.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,60046.218709,TIMEOUT,True
par32-4.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,60045.237909,TIMEOUT,True
flat200-70.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.565375,SATISFIABLE,False
flat200-70.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.674638,SATISFIABLE,False
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60018.817255,TIMEOUT,True
asconhashv12_opt64_H11_M2-fCHjS2L0du5_m2_4.c.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60020.606017,TIMEOUT,True
uf200-071.cnf,resource_allocation_like,random_control,A_cadical,60.0,116.167553,SATISFIABLE,False
uf200-071.cnf,resource_allocation_like,random_control,B_kissat,60.0,65.94044,SATISFIABLE,False
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,22252.339619,SATISFIABLE,False
circuit_48in64out_with_800gates_4in4out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,23706.836743,SATISFIABLE,False
aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,67.434319,UNSATISFIABLE,False
aim-50-1_6-no-3.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,18.494224,UNSATISFIABLE,False
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60047.55858,TIMEOUT,True
ER_500_30_3.apx_2_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60041.456054,TIMEOUT,True
flat100-6.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.611696,SATISFIABLE,False
flat100-6.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,17.682111,SATISFIABLE,False
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60048.00372,TIMEOUT,True
circuit_32in32out_with_96gates_7in7out_dist128_seed1.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60012.538007,TIMEOUT,True
flat100-71.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.965684,SATISFIABLE,False
flat100-71.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,35.040192,SATISFIABLE,False
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60031.008771,TIMEOUT,True
g2-test_v5_r10_vr10_c1_s21502.smt2-cvc4.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60016.366362,TIMEOUT,True
flat200-42.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,116.935776,SATISFIABLE,False
flat200-42.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.765494,SATISFIABLE,False
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60048.26311,TIMEOUT,True
ER_400_20_4.apx_1_DC-AD.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60052.387419,TIMEOUT,True
uf200-091.cnf,resource_allocation_like,random_control,A_cadical,60.0,167.044332,SATISFIABLE,False
uf200-091.cnf,resource_allocation_like,random_control,B_kissat,60.0,66.50625,SATISFIABLE,False
pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60027.003313,TIMEOUT,True
pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,23967.153462,SATISFIABLE,False
uf250-09.cnf,resource_allocation_like,random_control,A_cadical,60.0,266.389423,SATISFIABLE,False
uf250-09.cnf,resource_allocation_like,random_control,B_kissat,60.0,517.842469,SATISFIABLE,False
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60017.241187,TIMEOUT,True
af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60055.157083,TIMEOUT,True
uuf250-024.cnf,resource_allocation_like,random_control,A_cadical,60.0,2375.246689,UNSATISFIABLE,False
uuf250-024.cnf,resource_allocation_like,random_control,B_kissat,60.0,2475.538671,UNSATISFIABLE,False
aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.841438,UNSATISFIABLE,False
aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,34.684222,UNSATISFIABLE,False
flat200-36.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,168.002945,SATISFIABLE,False
flat200-36.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,67.626127,SATISFIABLE,False
jnh301.cnf,resource_allocation_like,crafted_structured,A_cadical,60.0,66.829732,SATISFIABLE,False
jnh301.cnf,resource_allocation_like,crafted_structured,B_kissat,60.0,34.249257,SATISFIABLE,False
uuf250-025.cnf,resource_allocation_like,random_control,A_cadical,60.0,4182.310746,UNSATISFIABLE,False
uuf250-025.cnf,resource_allocation_like,random_control,B_kissat,60.0,4284.049201,UNSATISFIABLE,False
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60041.928405,TIMEOUT,True
lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60047.742628,TIMEOUT,True
flat75-73.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,67.773187,SATISFIABLE,False
flat75-73.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.925217,SATISFIABLE,False
uf250-033.cnf,resource_allocation_like,random_control,A_cadical,60.0,669.566761,SATISFIABLE,False
uf250-033.cnf,resource_allocation_like,random_control,B_kissat,60.0,117.32157,SATISFIABLE,False
uuf200-089.cnf,resource_allocation_like,random_control,A_cadical,60.0,368.663864,UNSATISFIABLE,False
uuf200-089.cnf,resource_allocation_like,random_control,B_kissat,60.0,368.085637,UNSATISFIABLE,False
uf200-020.cnf,resource_allocation_like,random_control,A_cadical,60.0,267.724019,SATISFIABLE,False
uf200-020.cnf,resource_allocation_like,random_control,B_kissat,60.0,267.288305,SATISFIABLE,False
flat200-24.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.810298,SATISFIABLE,False
flat200-24.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,33.900495,SATISFIABLE,False
flat75-47.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.161465,SATISFIABLE,False
flat75-47.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.333385,SATISFIABLE,False
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60047.683623,TIMEOUT,True
lec_mult_DvK_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60046.298118,TIMEOUT,True
uuf250-098.cnf,resource_allocation_like,random_control,A_cadical,60.0,1873.381082,UNSATISFIABLE,False
