instance,stratum,domain,selector_choice,selector_reason,lkk_cadical_par2_ms,lkk_kissat_par2_ms,selector_par2_ms,oracle_par2_ms,regret_ms,picked_faster,harmful,tie,selector_ms
md5_48_1.cnf,no_useful_detected_structure,competition_main,kissat,large_formula(clauses=279248),51625.298691,20645.490274,20744.817371,20645.490274,99.32709700000123,False,True,False,
mdp-28-10-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-28-14-sat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-28-14-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-28-16-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-10-sat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-10-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-11-sat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-11-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-12-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-32-14-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-36-10-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-36-12-unsat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
mdp-36-14-sat.cnf,cardinality_exact_r_heavy,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
medium.cnf,resource_allocation_like,planning_scheduling,cadical,"default_in_process_cadical(boxes=12,recovery=COMPLETE,registry=UNKNOWN)",34.446756,66.389953,17.932085,34.446756,-16.514671,False,False,False,
mp1-blockpuzzle_5x10_s7_free4.cnf,no_useful_detected_structure,competition_main,kissat,large_formula(clauses=279150),120000.0,12812.846925,12161.495097,12812.846925,-651.3518279999989,False,False,False,
mp1-ps_5000_21250_3_0_0.8_0_1.50_6.cnf,matching_hall_like,competition_main,kissat,"open_cardinality_structure(boxes=666,registry=UNKNOWN)",43128.376068,41364.805289,42328.146169,41364.805289,963.3408799999961,False,True,False,
noL-11-0.sanitized.cnf,matching_hall_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
noL-11-10.sanitized.cnf,matching_hall_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
noL-11-12.sanitized.cnf,matching_hall_like,competition_main,kissat,"open_cardinality_structure(boxes=363,registry=UNKNOWN)",120000.0,41077.598948,40471.781652,41077.598948,-605.8172960000011,False,False,False,
noL-11-14.sanitized.cnf,matching_hall_like,competition_main,,,12061.983172,120000.0,120000.0,12061.983172,107938.01682799999,False,True,False,
noL-11-18.sanitized.cnf,matching_hall_like,competition_main,,,46593.610956,120000.0,120000.0,46593.610956,73406.38904400001,False,True,False,
noL-11-2.sanitized.cnf,matching_hall_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
noL-11-6.sanitized.cnf,matching_hall_like,competition_main,,,53413.501574,120000.0,120000.0,53413.501574,66586.498426,False,True,False,
noL-11-8.sanitized.cnf,matching_hall_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.025-NOTKNOWN.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
or_randxor_k3_n510_m510.sanitized.cnf,resource_allocation_like,competition_main,kissat,"open_cardinality_structure(boxes=83,registry=UNKNOWN)",120000.0,4183.060997,4385.003238,4183.060997,201.94224100000065,False,True,False,
par16-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=4,recovery=COMPLETE,registry=UNKNOWN)",167.579037,117.569485,116.7788,117.569485,-0.7906849999999963,False,False,False,
par16-1.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",168.002845,167.949452,168.089977,167.949452,0.14052499999999668,False,True,False,
par16-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=2,recovery=COMPLETE,registry=UNKNOWN)",66.261847,166.66699,117.320271,66.261847,51.058424,False,True,False,
par16-2.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",118.737228,218.057261,117.024219,118.737228,-1.7130089999999996,False,False,False,
par16-3-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=4,recovery=COMPLETE,registry=UNKNOWN)",66.657911,117.548939,66.959719,66.657911,0.3018080000000083,False,True,False,
par16-3.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",67.373213,116.544472,66.484824,67.373213,-0.8883890000000036,False,False,False,
par16-4.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",67.140578,117.264157,33.996457,67.140578,-33.144121000000005,False,False,False,
par16-5-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=3,recovery=COMPLETE,registry=UNKNOWN)",66.663434,217.089427,66.576032,66.663434,-0.08740199999999732,False,False,False,
par16-5.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",116.828589,167.074483,116.211147,116.828589,-0.6174419999999969,False,False,False,
par32-1.cnf,no_useful_detected_structure,crafted_parity,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
par32-2.cnf,no_useful_detected_structure,crafted_parity,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
par32-3-c.cnf,cardinality_exact_r_heavy,crafted_parity,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
par32-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
par32-5.cnf,no_useful_detected_structure,crafted_parity,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
par8-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=3,recovery=COMPLETE,registry=UNKNOWN)",17.991981,67.158662,18.297495,17.991981,0.3055140000000023,False,True,False,
par8-1.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",17.958057,66.588212,18.075519,17.958057,0.11746199999999973,False,True,False,
par8-2-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=3,recovery=COMPLETE,registry=UNKNOWN)",35.185517,67.791796,18.216915,35.185517,-16.968601999999997,False,False,False,
par8-2.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",18.377414,66.915589,18.115583,18.377414,-0.2618310000000008,False,False,False,
par8-3-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=2,recovery=COMPLETE,registry=UNKNOWN)",17.874686,67.247397,17.655236,17.874686,-0.21945000000000192,False,False,False,
par8-3.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",18.663487,67.134535,18.454139,18.663487,-0.20934799999999854,False,False,False,
par8-4-c.cnf,cardinality_exact_r_heavy,crafted_parity,cadical,"default_in_process_cadical(boxes=2,recovery=COMPLETE,registry=UNKNOWN)",9.80918,66.626915,18.104617,9.80918,8.295437000000002,False,True,False,
par8-4.cnf,no_useful_detected_structure,crafted_parity,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",34.3863,67.303296,18.309583,34.3863,-16.076717,False,False,False,
