min_boxes,min_clauses,min_signal,instances,accuracy,total_regret_ms,mean_regret_ms,harmful_selections,beneficial_selections,selector_total_par2_ms,oracle_total_par2_ms,always_cadical_total_par2_ms,always_kissat_total_par2_ms
16,100000,0,160,0.6125,479780.52292,2998.62826825,62,60,5551801.9199150065,5072021.396995005,5698024.539181998,5383158.735141006
16,100000,2,160,0.6125,479780.52292,2998.62826825,62,60,5551801.9199150065,5072021.396995005,5698024.539181998,5383158.735141006
16,100000,8,160,0.6125,479780.52292,2998.62826825,62,60,5551801.9199150065,5072021.396995005,5698024.539181998,5383158.735141006
16,500000,0,160,0.60625,571399.662614,3571.2478913375003,63,59,5643421.059609006,5072021.396995005,5698024.539181998,5383158.735141006
16,500000,2,160,0.60625,571399.662614,3571.2478913375003,63,59,5643421.059609006,5072021.396995005,5698024.539181998,5383158.735141006
16,500000,8,160,0.60625,571399.662614,3571.2478913375003,63,59,5643421.059609006,5072021.396995005,5698024.539181998,5383158.735141006
16,2000000,0,160,0.6,605847.960976,3786.5497560999997,64,58,5677869.357971005,5072021.396995005,5698024.539181998,5383158.735141006
16,2000000,2,160,0.6,605847.960976,3786.5497560999997,64,58,5677869.357971005,5072021.396995005,5698024.539181998,5383158.735141006
16,2000000,8,160,0.6,605847.960976,3786.5497560999997,64,58,5677869.357971005,5072021.396995005,5698024.539181998,5383158.735141006
16,1000000000,0,160,0.59375,709322.374039,4433.26483774375,65,57,5781343.771034005,5072021.396995005,5698024.539181998,5383158.735141006
16,1000000000,2,160,0.59375,709322.374039,4433.26483774375,65,57,5781343.771034005,5072021.396995005,5698024.539181998,5383158.735141006
16,1000000000,8,160,0.59375,709322.374039,4433.26483774375,65,57,5781343.771034005,5072021.396995005,5698024.539181998,5383158.735141006
