timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,pb_300_05_lb_17.cnf,no_useful_detected_structure,competition_main,B_kissat,23967.153462,TIMEOUT,True,60.0
5.0,uf250-09.cnf,resource_allocation_like,random_control,A_cadical,266.389423,SATISFIABLE,False,60.0
5.0,uf250-09.cnf,resource_allocation_like,random_control,B_kissat,517.842469,SATISFIABLE,False,60.0
5.0,af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,A_cadical,60017.241187,TIMEOUT,True,60.0
5.0,af-synthesis_stb_50_200_0_sat.cnf,no_useful_detected_structure,competition_main,B_kissat,60055.157083,TIMEOUT,True,60.0
5.0,uuf250-024.cnf,resource_allocation_like,random_control,A_cadical,2375.246689,UNSATISFIABLE,False,60.0
5.0,uuf250-024.cnf,resource_allocation_like,random_control,B_kissat,2475.538671,UNSATISFIABLE,False,60.0
5.0,aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,A_cadical,66.841438,UNSATISFIABLE,False,60.0
5.0,aim-100-1_6-no-4.cnf,resource_allocation_like,crafted_structured,B_kissat,34.684222,UNSATISFIABLE,False,60.0
5.0,flat200-36.cnf,resource_allocation_like,matching_capacity,A_cadical,168.002945,SATISFIABLE,False,60.0
5.0,flat200-36.cnf,resource_allocation_like,matching_capacity,B_kissat,67.626127,SATISFIABLE,False,60.0
5.0,jnh301.cnf,resource_allocation_like,crafted_structured,A_cadical,66.829732,SATISFIABLE,False,60.0
5.0,jnh301.cnf,resource_allocation_like,crafted_structured,B_kissat,34.249257,SATISFIABLE,False,60.0
5.0,uuf250-025.cnf,resource_allocation_like,random_control,A_cadical,4182.310746,UNSATISFIABLE,False,60.0
5.0,uuf250-025.cnf,resource_allocation_like,random_control,B_kissat,4284.049201,UNSATISFIABLE,False,60.0
5.0,lec_mult_CvK_11x11.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60041.928405,TIMEOUT,True,60.0
